172.26.1.193 断开 at 2024-09-23 16:54:58.477941, 恢复 at 2024-09-23 16:55:43.501231, 持续时间: 45.02329 秒
172.26.1.193 断开 at 2024-09-23 17:03:44.832803, 恢复 at 2024-09-23 17:04:40.857451, 持续时间: 56.024648 秒
172.26.1.177 断开 at 2024-09-23 17:21:32.379517, 恢复 at 2024-09-23 17:22:19.563599, 持续时间: 47.184082 秒
172.26.1.141 断开 at 2024-09-23 17:46:02.428065, 恢复 at 2024-09-23 17:46:35.978650, 持续时间: 33.550585 秒
172.26.1.177 断开 at 2024-09-23 17:48:23.293038, 恢复 at 2024-09-23 17:50:16.437130, 持续时间: 113.144092 秒
172.26.1.191 断开 at 2024-09-23 17:17:50.587880, 恢复 at 2024-09-23 17:51:27.883815, 持续时间: 2017.295935 秒
172.26.1.141 断开 at 2024-09-23 17:51:02.580093, 恢复 at 2024-09-23 17:51:44.887842, 持续时间: 42.307749 秒
172.26.1.177 断开 at 2024-09-23 17:55:12.157737, 恢复 at 2024-09-23 17:55:54.105603, 持续时间: 41.947866 秒
172.26.1.177 断开 at 2024-09-23 18:19:02.889734, 恢复 at 2024-09-23 18:19:36.700049, 持续时间: 33.810315 秒
172.26.1.177 断开 at 2024-09-23 18:44:15.974812, 恢复 at 2024-09-23 18:44:59.977837, 持续时间: 44.003025 秒
172.26.1.177 断开 at 2024-09-23 19:34:16.491165, 恢复 at 2024-09-23 19:34:51.768568, 持续时间: 35.277403 秒
172.26.1.177 断开 at 2024-09-23 19:40:59.765675, 恢复 at 2024-09-23 19:41:43.080447, 持续时间: 43.314772 秒
172.26.1.177 断开 at 2024-09-23 19:47:10.979995, 恢复 at 2024-09-23 19:47:46.293147, 持续时间: 35.313152 秒
172.26.1.177 断开 at 2024-09-23 20:11:23.958727, 恢复 at 2024-09-23 20:12:05.220308, 持续时间: 41.261581 秒
172.26.1.190 断开 at 2024-09-23 20:10:47.315412, 恢复 at 2024-09-23 20:12:10.724938, 持续时间: 83.409526 秒
172.26.1.192 断开 at 2024-09-23 18:15:41.767013, 恢复 at 2024-09-23 20:19:42.153731, 持续时间: 7440.386718 秒
172.26.1.191 断开 at 2024-09-23 20:26:32.077627, 恢复 at 2024-09-23 20:27:20.616827, 持续时间: 48.5392 秒
